issue	event	representativedoc	keyword	summary
5	4	4902	Visiting Yasukuni Shrine,Yasukuni War Shrine,Yasukuni War Shrine,Abe visits Yasukuni War,A shrine urging Tokyo	"['South Korea on Tuesday expressed concern over a ritual offering sent by Japanese Prime Minister Shinzo Abe to the Yasukuni Shrine, which glorifies its history of wars of aggression. ""Japan should demonstrate humble soul-searching and repentance through sincere behavior based on the appropriate recognition of history,"" South Korea\'s Foreign Ministry spokesman Noh Kyu-duk said.']"
6	0	1560	hailesilassie was a fierce journalist,election scam haiilesilassie now,election fraud,election fraud,hailesilassie young TV producer	"['Surafel Assefa Hailesilassie, who fled Ethiopia in 2011 after witnessing election fraud, said, ""I had no shelter, no money. I was hungry and lived on water and sugar to survive while the refugee application was underway."" He added, ""My bosses and co-workers called me a\'son of bitch\' many times. I asked them to call my name, but I was refused.""']"
6	1	1597	Warmbier to North Korea,visit North Korea for,visit to North Korea,Citizens visiting North Korea,North Korea travel control	"['The US should consider an executive order immediately banning all tourist travel to North Korea for the time being, the Korea Chair office of the Center for Strategic and International Studies said. ""The North Koreans were incapable of medically treating the ailing student. They were then incapable of making a decision to seek external medical advice and medical evacuation for well over a year,"" it added.']"
6	2	8612	North Korean kidnapping,North Koreans who defected,alleging Seoul kidnapping,North Korean defectors,kidnapped North Korean women	"['North Korea has sent letters to UN Secretary-General Antonio Guterres calling on the global body to help repatriate what it called North Korean women abducted by South Korea last year, the country\'s state media said on Tuesday. North Korea claimed that South Korea\'s abduction constitutes a ""crime against humanity"" as the move resulted in the separation of families against their will.']"
6	3	1778	trial in North Korea,The agency said it was Otto Warmbier.,Warmbier told Fox News,There was Otto Warmbier,warmbier that was	"['North Korea on Thursday said it released American student Otto Warmbier on ""humanitarian grounds"" after he was returned to his home state of Ohio in a coma. Warmbier was sentenced to 15 years in prison with hard labour for subversion after he tearfully confessed that he had tried to steal a propaganda banner. Warmbier\'s father said his son was ""terrorised and brutalised"".']"
6	4	2953	North Korean official Korean,North Korean official Korean,North Korean officials,North Korea reported,North Korea reported	"[""Catalina Devandas Aguilar, the UN special rapporteur on the rights of persons with disabilities, and her party arrived in North Korea on Tuesday, the country's official news agency reported. Aguilar's visit marks the first-ever visit to North Korea by an envoy appointed by the UN Human Rights Council. North Korea signed the UN convention on the rights of persons with disabilities last year.""]"
7	0	8558	South Korea's Blue House said,South Korea's Blue House,South Korea's Blue House,President of the Republic of Korea,President of the Republic of Korea	"[""South Korea's presidential office said Thursday it will not allow a search and seizure by special investigators who are looking into an influence-peddling scandal centered on President Park Geun-hye. In a text message sent to reporters, presidential spokesman Jung Youn-kuk denied a media report that Cheong Wa Dae is willing to accept the special investigation team's visit to three particular offices.""]"
7	1	7155	South Korean prosecutors,South Korean prosecutors,South Korean prosecutors,South Korean prosecutors,South Korean prosecutors on Monday	"['South Korean prosecutors on Monday sought an arrest warrant for former President Park Geun-hye on charges including bribery and abuse of authority in connection with the corruption scandal that led to her impeachment. ""The case is too serious, as the suspect has abused her status and authority as a president to receive money from companies,"" the prosecution said in a statement.']"
7	2	4721	Seoul Central District Court,corruption case park defense,Park Geun-hye Corruption,Rethinking Park Lawyers,park lawyer	"[""The Seoul Central District Court on Wednesday named five court-appointed lawyers to take former President Park Geun-hye's corruption case. The court said that a large number of lawyers have been set on the case in light of the large amount of data the new defense team must review. The court, however, withheld the identities of Park's new defense team, saying that revealing the information would impede their preparations.""]"
7	3	1655	Chaebol Choi's Suspicion,further investigation,Further investigation soon,Investigation soon,Choi asserts	['A bipartisan group of lawmakers is pushing for a special law to investigate and confiscate assets illegally accumulated by Choi Soon-sil, the arrested confidante of former President Park Geun-hye. The bill envisions the forming of a special investigative committee to look into the assets of not just Choi, but all those who played a role in the corruption scandal involving the former president.']
7	4	5037	food in seoul,dining in seoul,Prisoner Weekly Food Menu,Seoul Detention Center inmates,Seoul Detention Center	"[""Public interest in former President Park Geun-hye's life in prison reached another peak following a recent leak of Seoul Detention Center prisoners' weekly food menu, a local media outlet reported Wednesday. The leaked menu included Western food, such as morning bread, soup and salad, and Korean staples such as rice cake soup, chapjae noodles and pork stew.""]"
8	0	5571	Pyongyang Moon and Trump,President Moon Jae-in,President Moon Jae-in said.,President Moon Jae-in,Pyongyang's Moon	"['South Korean President Moon Jae-in and US President Donald Trump agreed to cooperate more closely and to work with the international community to further raise the pressure on North Korea, South Korea\'s presidential office said. ""(Moon and Trump) agreed to bring stronger and more effective sanctions and pressure to make the North Korean regime realize that provocations will bring tougher diplomatic isolation,"" it added.']"
8	1	6252	presidential frontrunner,military threat,security concerns statement said,security door said,Moon Jae-in threatens	"['Democratic Party presidential candidate Moon Jae-in on Wednesday received official support from 1,000 former soldiers, police officers, intelligence agents and defense experts. ""I will sternly confront bogus security forces that consider security their (political) tool without any proper views about the nation and security,"" Moon said during the meeting at the National Assembly.']"
8	2	5788	President Moon Jae-in,President Moon,President Moon Jae-in,Leader Abe Moon Shinzo,President Moon Jae-in	"['South Korean President Moon Jae-in and Japanese Prime Minister Shinzo Abe agreed to push for a new UN Security Council resolution with the ""strongest"" sanctions against North Korea, including cutting off all oil supplies to the country. The two leaders noted such a measure will depend on China and Russia, both veto-wielding permanent members of the UN Security Council.']"
8	3	5770	oil to North Korea,Putin will hold the moon on wednesday,President Moon Jae-in,President Moon Jae-in,russian moon	"[""South Korean President Moon Jae-in returned home on Thursday after his two-day visit to Russia's Vladivostok for a regional economic summit and talks with other global leaders on ways to rein in North Korea's nuclear and missile developments. Moon proposed pushing for a new UN Security Council resolution that would cut off all oil supplies to the North.""]"
8	4	265	President Moon,President Moon Jae-in,the korean moon said,President Moon Jae-in,korean moon	"['South Korean President Moon Jae-in on Tuesday said that the country will expand its diplomatic efforts to peacefully resolve North Korea\'s nuclear and missile issues. ""The government will prevent a war at all cost. We must peacefully resolve the North Korean nuclear issue no matter how many ups and downs there are,"" he added.']"
9	0	293	Korean education continues,Future Education Research,Future Education Research,future education,Korean language education continues	"['Schools of the future will be equipped with a combination of artificial intelligence and personalised learning tools, education experts predicted. ""Students will not spend much time at school as they do now. They might have to come to school only for morning classes or even every other day,"" said Gim Chae-chun, president of the Korean Educational Development Institute.']"
9	1	1578	Visa for Teachers,British Columbia International School,Korea Office of Education,There, the Korean Office of Education,Columbia International School	['Foreigners teaching subjects other than English on E-2 visas may face eviction from South Korea, as the immigration office is cracking down on visa violations in English-only alternative schools. Fourteen Canadian teachers at the Canadian British Columbia International School in eastern Seoul were the first to receive departure orders in April. The decision led to the shutdown of the institution, which had 160 students.']
9	2	2695	Textbook President Yoon's Office,Published History Textbook President,textbook president,history textbook president,Chung-hee as President	"['South Korean President Moon Jae-in has ordered the withdrawal of state-published history textbooks, presidential secretary Yoon Young-chan said. ""The decision shows Moon\'s firm will block any attempt to use history education for political purposes,"" he added. Former President Park Geun-hye had pushed for ""correct"" history education through state-combined books, claiming ""a left-leaning, pro-North Korea bias"" in private publishers\' textbooks.']"
9	3	7154	Minor Foreign Language Department,minor foreign language in,minor foreign language,Minor Language Department,minor foreign language	"[""South Korea's Ministry of Education and the National Institute for International Education on Monday unveiled a five-year plan for a long-term development strategy. The plan calls for opening more minor foreign languages at domestic universities and colleges, and expanding job opportunities for their graduates. The first phase of the new program will be implemented until 2021 in cooperation with business enterprises.""]"
9	4	6704	Korea University Percentage,Top Rated University Seoul,CEO Korea University,CEO Korea University,Evaluation University Seoul	"[""Graduates of South Korea's top three universities, Seoul National University (SNU), Yonsei University and Korea University, accounted for 48.9 percent of the 480 CEOs at 347 companies that rank in the country's top 500, according to CEO Score. The ratio is 2.6 percent lower than two years ago, with the biggest drop for Korea University at 2.1 percentage points.""]"
